codigo,descricao,preconormal,precooferta,inicio,fim,secao,familia
42117,"SAB PROTEX FRESH 85G",3.89,2.99,03/08,10/08,"HIGIENE CORPORAL",1332
42409,"DESOD AERO DOVE MEN CARE PROMO 200ML",21.29,19.98,04/08,03/09,"HIGIENE CORPORAL",1484
42556,"CAPSULA TRES CAPPUCCINO AVELA 10X11G",24.69,19.99,04/08,10/08,"CAFE / CHA",2205
42631,"LAVA ROUPAS URCA LAVANDA 3L",17.29,12.99,07/07,06/08,LIMPEZA,2874
42792,"ESC DENT ORAL-B BLACK COMPLETE COLORS C/4",34.79,29.98,15/07,14/08,"CUIDADOS BUCAL",0
43287,"SH SEDA TOQUE DE SEDA 300ML",16.49,13.99,04/08,03/09,"CUIDADOS COM O CABELO",2475
43288,"COND SEDA TOQUE DE SEDA 250ML",17.59,14.99,04/08,03/09,"CUIDADOS COM O CABELO",2477
43289,"CR PENT SEDA TOQUE DE SEDA 300ML",13.99,12.49,04/08,03/09,"CUIDADOS COM O CABELO",1369
43417,"LAVA ROUPAS EVA 3L",14.49,12.99,07/07,06/08,LIMPEZA,5706
43418,"LAVA ROUPAS EVA 5L",21.49,17.99,01/08,06/08,LIMPEZA,5462
44190,"DESOD AERO DOVE PESSEGO E LEITE 89G",21.29,19.98,04/08,03/09,"HIGIENE CORPORAL",1484
44191,"DESOD AERO DOVE LAVANDA E BAUNILHA 89G",21.29,19.98,04/08,03/09,"HIGIENE CORPORAL",1484
44250,"REFRESC TANG AZUL 18G",0.99,0.97,04/08,10/08,BEBIDAS,4199
44404,"LAVA ROUPAS EVA VERDE 5L",21.49,17.99,01/08,06/08,LIMPEZA,5462
44705,"IOG DANONE ZERO LIQ MORANGO 1,200G",16.69,15.99,29/07,08/08,FRIOS,5714
44706,"IOG DANONE ZERO LIQ BATIDO 1,200G",16.69,15.99,29/07,08/08,FRIOS,5714
44852,"AMAC COMFORT BRISA ELEGANTE SH 900ML",21.99,16.99,03/08,10/08,LIMPEZA,5764
44853,"AMAC COMFORT ENERGIA FLORAL SH 900ML",23.29,16.99,03/08,10/08,LIMPEZA,5764
45121,"CAFE SANTA CLARA CLASSICO SL 40G 10%",4.99,4.97,04/08,10/08,"CAFE / CHA",0
45137,"COND SEDA COLAGENO E VITAMINA 250ML",17.59,14.99,04/08,03/09,"CUIDADOS COM O CABELO",2477
45139,"SH SEDA COLAGENO E VITAMINA 300ML",16.49,13.99,04/08,03/09,"CUIDADOS COM O CABELO",2475
45348,"LAVA ROUPAS LIMPA JA 5L",21.49,17.99,01/08,06/08,LIMPEZA,5462
45440,"CAPSULA TRES CAFE CAPPUCCINO PACOCA 10X11G",23.69,19.99,04/08,10/08,"CAFE / CHA",0
45441,"CAPSULA TRES CAFE CAPPUCCINO NAPOLITANO 10X11G",23.69,19.99,04/08,10/08,"CAFE / CHA",0
45928,"BOMBOM GAROTO SORTIDO 220G",14.99,13.99,04/08,10/08,BOMBONIERE,0
45967,"BATATA LAYS SOUR CREAM 62G",9.39,4.99,31/07,10/08,BOMBONIERE,5743
46005,"DESOD AERO DOVE MEN ENERGY BOOST 89G",21.29,19.98,04/08,03/09,"HIGIENE CORPORAL",1484
46034,"LENCO UMED SUPER KISSES C/140",9.99,7.99,22/07,21/08,INFANTIS,0
46037,"FRALDA PANDA TOQUE MACIO JUMBINHO P C/20",15.29,11.99,22/07,21/08,INFANTIS,5606
46038,"FRALDA PANDA TOQUE MACIO JUMBINHO M C/18",15.29,11.99,22/07,21/08,INFANTIS,5606
46039,"FRALDA PANDA TOQUE MACIO JUMBINHO G C/16",15.29,11.99,22/07,21/08,INFANTIS,5606
46040,"FRALDA PANDA TOQUE MACIO JUMBINHO XG C/14",15.29,11.99,22/07,21/08,INFANTIS,5606
46041,"FRALDA PANDA TOQUE MACIO JUMBINHO XXG C/12",15.29,11.99,22/07,21/08,INFANTIS,5606
46107,"SAND HAVAIANAS TOP VAI BRASIL AM. POP 35/36",43.49,39.98,04/07,04/08,CALCADOS,5611
46108,"SAND HAVAIANAS TOP VAI BRASIL AM. POP 37/38",43.49,39.98,04/07,04/08,CALCADOS,5611
46109,"SAND HAVAIANAS TOP VAI BRASIL AM. POP 39/40",43.49,39.98,04/07,04/08,CALCADOS,5611
46110,"SAND HAVAIANAS TOP VAI BRASIL AM. POP 41/42",43.49,39.98,04/07,04/08,CALCADOS,5611
46111,"SAND HAVAIANAS TOP VAI BRASIL AM. POP 43/44",43.49,39.98,04/07,04/08,CALCADOS,5611
46174,"FRALDA KISSES MASTER REGULAR MD C/8X12",21.89,19.98,22/07,21/08,INFANTIS,5618
46175,"FRALDA KISSES MASTER REGULAR GD C/8X12",21.89,19.98,22/07,21/08,INFANTIS,5618
46176,"FRALDA KISSES MASTER REGULAR XG C/7X12",21.89,19.98,22/07,21/08,INFANTIS,5618
46227,"SALG PIPPOS VIT ANIME CEBOLA E SALSA 200G",10.99,9.99,04/08,10/08,BOMBONIERE,5736
46307,"LAVA ROUPAS UAU ACTIVE 1,7L",18.99,15.99,23/06,29/09,LIMPEZA,5665
46308,"LAVA ROUPAS UAU PERF COCO E VANILA 1,7L",18.99,15.99,23/06,29/09,LIMPEZA,5665
46466,"SAB LIQ PALMOLIVE NATURALS SEGREDO SEDUTOR RF 200ML",10.99,5.99,03/08,10/08,"HIGIENE CORPORAL",2596
46468,"SAB LIQ PALMOLIVE NATURALS MELANCIA E LICHIA RF 200ML",10.99,5.99,03/08,10/08,"HIGIENE CORPORAL",2596
46480,"SALG SALSITOS PRESUNTO 32G",1.99,1.99,04/08,10/08,BOMBONIERE,5696
46481,"SALG SALSITOS QUEIJO 32G",1.99,1.99,04/08,10/08,BOMBONIERE,5696
46521,"LENCO UMED MUNDO BITA C/140",10.29,8.99,22/07,21/08,INFANTIS,0
46598,"SAND RIDER BRASIL MASC BV253 AZ/B N37 A 44",33.29,29.99,03/08,10/08,CALCADOS,5679
46599,"SAND RIDER BRASIL MASC BV254 PT/B N37 A 44",33.29,29.99,03/08,10/08,CALCADOS,5679
46600,"SAND RIDER BRASIL MASC BV255 BR/A N37 A 44",33.29,29.99,03/08,10/08,CALCADOS,5679
46601,"SAND RIDER BRASIL MASC BV267 AZ/B N37 A 44",33.29,29.99,03/08,10/08,CALCADOS,5679
46671,"ENERG MORMAII PET 2L",12.97,11.99,23/06,29/09,BEBIDAS,0
46713,"SAB LIQ PALMOLIVE NUTRI MILK RF 200ML",10.99,5.99,03/08,10/08,"HIGIENE CORPORAL",2596
46719,"CR DENT SORRISO SUP REFRESC JUA HORTELA 70G",3.99,2.95,22/07,21/08,"CUIDADOS BUCAL",0
46798,"LAVA ROUPAS EVA VERDE 3L",14.49,12.99,07/07,06/08,LIMPEZA,5706
46891,"BISC RECH PASSATEMPO CHOC 130G 10%GRATIS",2.75,2.75,04/08,10/08,"BISCOITOS / BOLACHAS",0
46895,"CERVEJA HEINEKEN 473ML",6.99,6.99,04/08,10/08,BEBIDAS,0
47064,"SAB ALBANY PERFUME JASMIM 80G",1.99,1.59,03/08,10/08,"HIGIENE CORPORAL",4390
47065,"SAB ALBANY PERFUME CAPIM E LIMAO 80G",1.99,1.59,03/08,10/08,"HIGIENE CORPORAL",4390
47072,"LAVA ROUPAS LIMPA JA VERDE 5L",21.49,17.99,01/08,06/08,LIMPEZA,5462
47076,"CR PENT SEDA CRESCIMENTO E FORCA 300ML",13.99,12.49,04/08,03/09,"CUIDADOS COM O CABELO",1369
47077,"SH SEDA CRESCIMENTO E FORCA 325ML",16.49,13.99,04/08,03/09,"CUIDADOS COM O CABELO",2475
47078,"COND SEDA CRESCIMENTO E FORCA 250ML",17.59,14.99,04/08,03/09,"CUIDADOS COM O CABELO",2477
47082,"SH SEDA MEGA CRESCIMENTO 300ML",16.49,13.99,04/08,03/09,"CUIDADOS COM O CABELO",2475
47085,"COND SEDA MEGA CRESCIMENTO 250ML",17.59,14.99,04/08,03/09,"CUIDADOS COM O CABELO",2477
47086,"CR PENT SEDA MEGA CRESCIMENTO 300ML",13.99,12.49,04/08,03/09,"CUIDADOS COM O CABELO",1369
115584,"SH PALMOLIVE NATURALS CUIDADO ABSOLUTO 350ML",12.39,10.99,03/08,10/08,"CUIDADOS COM O CABELO",1260
115592,"COND PALMOLIVE CACAU 350G",12.89,11.99,03/08,10/08,"CUIDADOS COM O CABELO",1401
116971,"CR PENT SEDA BOOM TRANSICAO 295ML",13.99,12.49,04/08,03/09,"CUIDADOS COM O CABELO",1369
118923,"SH HEAD SHOULDERS DETOX 200ML",23.29,18.99,03/08,10/08,"CUIDADOS COM O CABELO",1317
123382,"SH SEDA BABOSA 325ML",16.49,13.99,04/08,03/09,"CUIDADOS COM O CABELO",2475
123390,"COND SEDA BABOSA E OLEOS 325ML",17.59,14.99,04/08,03/09,"CUIDADOS COM O CABELO",2477
123412,"CR PENT SEDA BABOSA E OLEOS 300ML",13.99,12.49,04/08,03/09,"CUIDADOS COM O CABELO",1369
125326,"SAB PROTEX PROF ANT ESPINHAS 85G",3.89,2.99,03/08,10/08,"HIGIENE CORPORAL",1332
125334,"SAB PROTEX MACADAMIA 85G",3.89,2.99,03/08,10/08,"HIGIENE CORPORAL",1332
125342,"SAB LIQ PALMOLIVE NATURALS JASMIM RF 200ML",10.99,5.99,03/08,10/08,"HIGIENE CORPORAL",2596
125350,"SAB LIQ PALMOLIVE ARGAN RF 200ML",10.99,5.99,03/08,10/08,"HIGIENE CORPORAL",2596
131369,"ACHOC TODDYNHO LEVINHO CHOC 200ML",2.99,2.25,04/08,10/08,"ACHOCOLATADOS / LEITES",1153
136611,"WAFER LACTA BIS BLACK 100,8G",9.19,5.99,24/07,10/08,"BISCOITOS / BOLACHAS",4852
