codigo,descricao,preconormal,precooferta,inicio,fim
704873,"SH PALMOLIVE NATURALS NUTRI LIS LISS 350ML",12.39,10.99,03/08,10/08
704954,"SH PALMOLIVE NATURALS REPARACAO GELEIA REA 350ML",12.39,10.99,03/08,10/08
714291,"SH HEAD SHOULDERS ANTI-COCEIRA 200ML",23.29,18.99,03/08,10/08
714348,"SH HEAD SHOULDERS HIDRATACAO 200ML",23.29,18.99,03/08,10/08
714445,"SH HEAD SHOULDERS MENTHA REFRESCANTE 200ML",23.29,18.99,03/08,10/08
715441,"ESC DENT COLGATE CLASSIC CLEAN MC",7.39,3.99,03/08,10/08
715468,"ESC DENT COLGATE CLASSIC CLEAN MD",7.39,3.99,03/08,10/08
718122,"SAB PROTEX SUAVE 85G",3.89,2.99,03/08,10/08
718130,"SAB PROTEX BALANCE SAUDAVEL 85G",3.89,2.99,03/08,10/08
718211,"SAB PROTEX ALOE 85G",3.89,2.99,03/08,10/08
718351,"SAB PROTEX AVEIA 85G",3.89,2.99,03/08,10/08
718386,"SAB PROTEX CREAM 85G",3.89,2.99,03/08,10/08
718475,"SAB PROTEX LIMPEZA PROFUNDA 85G",3.89,2.99,03/08,10/08
718491,"SAB PROTEX PROPOLIS 85G",3.89,2.99,03/08,10/08
725544,"COND PALMOLIVE NATURALS MACIEZ PROLONGADA 350ML",12.89,11.99,03/08,10/08
725838,"COND PALMOLIVE NATURALS NEUTRO 350ML",12.89,11.99,03/08,10/08
725862,"COND PALMOLIVE NATURALS NUTRI -LIS 350ML",12.89,11.99,03/08,10/08
728675,"CR PENT SEDA CACHOS COMPORTADOS 300ML",13.99,12.49,04/08,03/09
728691,"CR PENT SEDA CERAMIDAS 300ML",13.99,12.49,04/08,03/09
731048,"DESOD AERO REXONA MEN ANTIBACTERIANO INVISIBLE 90G",18.79,16.99,04/08,03/09
731056,"DESOD AERO REXONA MEN SPORTFAN 90GR",18.79,16.99,04/08,03/09
737461,"COND PALMOLIVE NATURALS CERAMIDAS FORCE 350ML",12.89,11.99,03/08,10/08
746479,"CR PENT SEDA LISO PERFEITO 300G",13.99,12.49,04/08,03/09
746533,"CR PENT SEDA PRETO LUMINOSOS 300ML",13.99,12.49,04/08,03/09
755982,"CR PENT SEDA CRESCIMENTO 300ML",13.99,12.49,04/08,03/09
764124,"DESOD AERO DOVE ORIGINAL 89G",21.29,19.98,04/08,03/09
764175,"DESOD AERO DOVE BEAUTY FINISH 89G",21.29,19.98,04/08,03/09
764329,"DESOD AERO DOVE GO FRESH 89G",21.29,19.98,04/08,03/09
764418,"DESOD AERO DOVE INVISIBLE DRY 89G",21.29,19.98,04/08,03/09
764450,"DESOD AERO DOVE MEN CUIDADO TOTAL 89G",21.29,19.98,04/08,03/09
764485,"DESOD AERO DOVE MEN EXTRA FRESH 89G",21.29,19.98,04/08,03/09
765597,"DESOD AERO REXONA MEN INVISIB 150ML",18.79,16.99,04/08,03/09
794244,"COND PALMOLIVE CACHOS LIVRES 350G",12.89,11.99,03/08,10/08
794341,"COND PALMOLIVE NATURALS ILUMINADOR PRETO 350ML",12.89,11.99,03/08,10/08
794503,"COND PALMOLIVE NATURALS REPARACAO GELEIA REAL 350ML",12.89,11.99,03/08,10/08
794511,"COND PALMOLIVE NATRUALS ANTI ARMARD 350ML",12.89,11.99,03/08,10/08
797561,"SALG SALSITOS CEBOLA 32G",1.99,1.99,04/08,10/08
804487,"SAB PROTEX VITAMINA E 85G",3.89,2.99,03/08,10/08
809330,"OLEO SOYA SOJA 900ML",8.89,8.79,04/08,06/08
812412,"PAO PLUSVITA DE FORMA ORIGINAL 480G",11.89,8.99,31/07,09/08
817171,"MOLHO TARANTELLA TOMATE PENEIRADO 1,06KG",7.99,7.99,04/08,10/08
819611,"DESOD AERO DOVE MEN SEM PERFUME 89G",21.29,19.98,04/08,03/09
833932,"LEITE UHT CAMPONESA INTEGRAL 1L",7.49,5.49,22/07,10/08
836010,"SH PALMOLIVE NATURALS MACIEZ PROLONGADA 350ML",12.39,10.99,03/08,10/08
856568,"INSET BAYGON AERO ACAO TOT 360ML",20.99,16.79,03/08,10/08
858552,"INSET BAYGON ACAO TOT C EUCAL 360ML",20.99,16.79,03/08,10/08
860956,"SAB PROTEX MEN ENERGY 85G",3.89,2.99,03/08,10/08
870390,"SAB PROTEX MEN SPORT 85G",3.89,2.99,03/08,10/08
875660,"CR PENT SEDA KERAFORCE ORIGINAL 300ML",13.99,12.49,04/08,03/09
910287,"DESOD AERO REXONA MEN V8 150ML",18.79,16.99,04/08,03/09
910643,"DESOD AERO REXONA MEN XTRA COOL 150ML",18.79,16.99,04/08,03/09
918350,"DESOD AERO REXONA MEN ACTIVE 150ML",18.79,16.99,04/08,03/09
927988,"CR PENT SEDA OLEO HIDRATACAO 300ML",13.99,12.49,04/08,03/09
928364,"SH PALMOLIVE NATURALS HIDRATACAO LUMINOSA 350ML",12.39,10.99,03/08,10/08
936243,"DESOD AERO DOVE MEN INVISIBLE DRY 89G",21.29,19.98,04/08,03/09
937428,"COND PALMOLIVE OLEO ARGAN 350ML",12.89,11.99,03/08,10/08
941387,"PAO PLUSVITA INTEGRAL 480G",10.99,9.99,31/07,09/08
949876,"SAB PROTEX OMEGA 3 85G",3.89,2.99,03/08,10/08
952478,"CR PENT SEDA HIDRATACAO ANTI-NOS 300ML",13.99,12.49,04/08,03/09
952834,"LAVA ROUPAS OMO LAV.PERFEITA 3L",42.39,29.98,03/08,10/08
964727,"DESOD AERO REXONA MEN ANTIBACTERIAL 90GR",18.79,16.99,04/08,03/09
975435,"CAPSULA TRES CHA CAMOMILA 10X2,5G",24.69,19.99,04/08,10/08
975443,"CAPSULA TRES CAPIM CIDREIRA 10X2,5G",24.69,19.99,04/08,10/08
975460,"CAPSULA TRES CHA ERVA DOCE 10X2,5G",24.69,19.99,04/08,10/08
975478,"CAPSULA TRES ESPRESSO PLENO 10X8G",24.69,19.99,04/08,10/08
975486,"CAPSULA TRES ESPRESSO SUPREMO 10X8G",24.69,19.99,04/08,10/08
975494,"CAPSULA TRES CAFE C LEITE 10X9G",24.69,19.99,04/08,10/08
975508,"CAPSULA TRES CAPPUCCINO CLASSIC 10X11G",24.69,19.99,04/08,10/08
975516,"CAPSULA TRES CAFE COADO CLASSICO 10X7,5",24.69,19.99,04/08,10/08
975524,"CAPSULA TRES CAFE COADO GOURMET 10X7,5G",24.69,19.99,04/08,10/08
975532,"CAPSULA TRES CHOC QUENTE 10X10G",24.69,19.99,04/08,10/08
975540,"CAPSULA TRES CORACOES ESPRESSO VIB 80G",24.69,19.99,04/08,10/08
975559,"CAPSULA TRES CORACOES ESPRESSO DEC 80G",24.69,19.99,04/08,10/08
982423,"SAB PROTEX MEN POWER 90G",3.89,2.99,03/08,10/08
990612,"CAPSULA TRES ESPRESSO ATENTO 10X8G",24.69,19.99,04/08,10/08
995240,"SH HEAD SHOULDERS MEN 3X1 200ML",23.29,18.99,03/08,10/08
995584,"ESC DENT ORAL-B 7 BENEFICIOS 40 L2P1",38.79,29.98,15/07,14/08
996114,"SH HEAD SHOULDERS MACA 200ML",23.29,18.99,03/08,10/08
